Algorithm,time,n,m,scenario
binary_search,1.4066696167e-05,1442,480,aaa
binary_search,6.91413879395e-06,731,243,random
binary_search,1.00135803223e-05,1462,486,aaa
binary_search,6.91413879395e-06,741,246,random
binary_search,1.00135803223e-05,1482,492,aaa
binary_search,7.15255737305e-06,751,250,random
binary_search,1.00135803223e-05,1502,500,aaa
binary_search,5.96046447754e-06,761,253,random
binary_search,8.82148742676e-06,1522,506,aaa
binary_search,6.91413879395e-06,771,256,random
binary_search,1.00135803223e-05,1542,512,aaa
binary_search,7.15255737305e-06,781,260,random
binary_search,1.00135803223e-05,1562,520,aaa
binary_search,7.15255737305e-06,791,263,random
binary_search,1.00135803223e-05,1582,526,aaa
binary_search,7.86781311035e-06,801,266,random
binary_search,1.00135803223e-05,1602,532,aaa
binary_search,1.69277191162e-05,811,270,random
binary_search,1.12056732178e-05,1622,540,aaa
binary_search,1.09672546387e-05,821,273,random
binary_search,1.59740447998e-05,1642,546,aaa
binary_search,1.09672546387e-05,831,276,random
binary_search,1.31130218506e-05,1662,552,aaa
binary_search,1.12056732178e-05,841,280,random
binary_search,1.4066696167e-05,1682,560,aaa
binary_search,1.00135803223e-05,851,283,random
binary_search,1.19209289551e-05,1702,566,aaa
binary_search,8.10623168945e-06,861,286,random
binary_search,1.4066696167e-05,1722,572,aaa
binary_search,8.10623168945e-06,871,290,random
binary_search,1.09672546387e-05,1742,580,aaa
binary_search,6.91413879395e-06,881,293,random
binary_search,2.19345092773e-05,1762,586,aaa
binary_search,1.09672546387e-05,891,296,random
binary_search,1.50203704834e-05,1782,592,aaa
binary_search,1.09672546387e-05,901,300,random
binary_search,1.19209289551e-05,1802,600,aaa
binary_search,7.86781311035e-06,911,303,random
binary_search,1.59740447998e-05,1822,606,aaa
binary_search,1.28746032715e-05,921,306,random
binary_search,1.69277191162e-05,1842,612,aaa
binary_search,1.09672546387e-05,931,310,random
binary_search,1.62124633789e-05,1862,620,aaa
binary_search,1.00135803223e-05,941,313,random
binary_search,1.31130218506e-05,1882,626,aaa
binary_search,7.86781311035e-06,951,316,random
binary_search,1.50203704834e-05,1902,632,aaa
binary_search,1.09672546387e-05,961,320,random
binary_search,1.19209289551e-05,1922,640,aaa
binary_search,1.78813934326e-05,971,323,random
binary_search,2.28881835938e-05,1942,646,aaa
binary_search,1.19209289551e-05,981,326,random
binary_search,2.09808349609e-05,1962,652,aaa
binary_search,1.09672546387e-05,991,330,random
binary_search,3.50475311279e-05,1982,660,aaa
binary_search,1.00135803223e-05,1001,333,random
binary_search,1.38282775879e-05,2002,666,aaa
binary_search,9.05990600586e-06,1011,336,random
binary_search,1.19209289551e-05,2022,672,aaa
binary_search,7.86781311035e-06,1021,340,random
binary_search,1.09672546387e-05,2042,680,aaa
binary_search,7.15255737305e-06,1031,343,random
binary_search,9.77516174316e-06,2062,686,aaa
binary_search,7.15255737305e-06,1041,346,random
binary_search,1.09672546387e-05,2082,692,aaa
binary_search,7.15255737305e-06,1051,350,random
binary_search,1.09672546387e-05,2102,700,aaa
binary_search,7.86781311035e-06,1061,353,random
binary_search,1.00135803223e-05,2122,706,aaa
binary_search,6.91413879395e-06,1071,356,random
binary_search,1.00135803223e-05,2142,712,aaa
binary_search,7.15255737305e-06,1081,360,random
binary_search,1.00135803223e-05,2162,720,aaa
binary_search,6.91413879395e-06,1091,363,random
binary_search,1.00135803223e-05,2182,726,aaa
binary_search,5.96046447754e-06,1101,366,random
binary_search,9.05990600586e-06,2202,732,aaa
binary_search,7.86781311035e-06,1111,370,random
binary_search,1.19209289551e-05,2222,740,aaa
binary_search,6.91413879395e-06,1121,373,random
binary_search,1.00135803223e-05,2242,746,aaa
binary_search,6.91413879395e-06,1131,376,random
binary_search,8.82148742676e-06,2262,752,aaa
binary_search,6.91413879395e-06,1141,380,random
binary_search,2.50339508057e-05,2282,760,aaa
binary_search,1.19209289551e-05,1151,383,random
binary_search,1.69277191162e-05,2302,766,aaa
binary_search,1.09672546387e-05,1161,386,random
binary_search,1.4066696167e-05,2322,772,aaa
binary_search,8.82148742676e-06,1171,390,random
binary_search,1.31130218506e-05,2342,780,aaa
binary_search,6.91413879395e-06,1181,393,random
binary_search,1.09672546387e-05,2362,786,aaa
binary_search,7.86781311035e-06,1191,396,random
binary_search,1.09672546387e-05,2382,792,aaa
binary_search,8.82148742676e-06,1201,400,random
binary_search,1.09672546387e-05,2402,800,aaa
binary_search,1.78813934326e-05,1211,403,random
binary_search,1.00135803223e-05,2422,806,aaa
binary_search,7.86781311035e-06,1221,406,random
binary_search,1.00135803223e-05,2442,812,aaa
binary_search,7.86781311035e-06,1231,410,random
binary_search,1.00135803223e-05,2462,820,aaa
binary_search,8.10623168945e-06,1241,413,random
binary_search,1.12056732178e-05,2482,826,aaa
binary_search,1.59740447998e-05,1251,416,random
