Algorithm,time,n
sorted_python,1.9073486328125e-06,1
sorted_python,2.1457672119140625e-06,51
sorted_python,1.1920928955078125e-06,101
sorted_python,9.5367431640625e-07,151
sorted_python,9.5367431640625e-07,201
sorted_python,9.5367431640625e-07,251
sorted_python,9.5367431640625e-07,301
sorted_python,7.152557373046875e-07,351
sorted_python,7.152557373046875e-07,401
sorted_python,9.5367431640625e-07,451
sorted_python,4.0531158447265625e-06,501
sorted_python,1.9073486328125e-06,551
sorted_python,1.9073486328125e-06,601
sorted_python,4.0531158447265625e-06,651
sorted_python,3.0994415283203125e-06,701
sorted_python,5.245208740234375e-06,751
sorted_python,2.1457672119140625e-06,801
sorted_python,5.0067901611328125e-06,851
sorted_python,3.0994415283203125e-06,901
sorted_python,5.9604644775390625e-06,951
sorted_python,4.76837158203125e-06,1001
sorted_python,6.9141387939453125e-06,1051
sorted_python,5.0067901611328125e-06,1101
sorted_python,2.86102294921875e-06,1151
sorted_python,4.0531158447265625e-06,1201
sorted_python,7.867813110351562e-06,1251
sorted_python,5.7220458984375e-06,1301
sorted_python,4.0531158447265625e-06,1351
sorted_python,5.0067901611328125e-06,1401
sorted_python,4.0531158447265625e-06,1451
sorted_python,4.76837158203125e-06,1501
sorted_python,4.0531158447265625e-06,1551
sorted_python,4.0531158447265625e-06,1601
sorted_python,5.9604644775390625e-06,1651
sorted_python,3.814697265625e-06,1701
sorted_python,8.106231689453125e-06,1751
sorted_python,4.76837158203125e-06,1801
sorted_python,5.0067901611328125e-06,1851
sorted_python,5.0067901611328125e-06,1901
sorted_python,3.814697265625e-06,1951
sorted_python,6.9141387939453125e-06,2001
sorted_python,5.9604644775390625e-06,2051
sorted_python,5.0067901611328125e-06,2101
sorted_python,5.0067901611328125e-06,2151
sorted_python,4.291534423828125e-06,2201
sorted_python,7.867813110351562e-06,2251
sorted_python,6.198883056640625e-06,2301
sorted_python,6.198883056640625e-06,2351
sorted_python,1.0013580322265625e-05,2401
sorted_python,6.9141387939453125e-06,2451
sorted_python,1.3113021850585938e-05,2501
sorted_python,1.4066696166992188e-05,2551
sorted_python,1.1920928955078125e-05,2601
sorted_python,1.1205673217773438e-05,2651
sorted_python,7.867813110351562e-06,2701
sorted_python,6.9141387939453125e-06,2751
sorted_python,7.867813110351562e-06,2801
sorted_python,7.867813110351562e-06,2851
sorted_python,7.867813110351562e-06,2901
sorted_python,6.9141387939453125e-06,2951
sorted_python,6.9141387939453125e-06,3001
sorted_python,6.9141387939453125e-06,3051
sorted_python,7.152557373046875e-06,3101
sorted_python,8.821487426757812e-06,3151
sorted_python,8.821487426757812e-06,3201
sorted_python,2.5033950805664062e-05,3251
sorted_python,1.9788742065429688e-05,3301
sorted_python,1.8835067749023438e-05,3351
sorted_python,1.4781951904296875e-05,3401
sorted_python,1.8835067749023438e-05,3451
sorted_python,1.621246337890625e-05,3501
sorted_python,1.2874603271484375e-05,3551
sorted_python,1.430511474609375e-05,3601
sorted_python,1.7881393432617188e-05,3651
sorted_python,1.4066696166992188e-05,3701
sorted_python,1.0967254638671875e-05,3751
sorted_python,1.0967254638671875e-05,3801
sorted_python,1.0967254638671875e-05,3851
sorted_python,1.0967254638671875e-05,3901
sorted_python,1.0013580322265625e-05,3951
sorted_python,1.2159347534179688e-05,4001
sorted_python,1.0967254638671875e-05,4051
sorted_python,1.2159347534179688e-05,4101
sorted_python,1.1920928955078125e-05,4151
sorted_python,1.2159347534179688e-05,4201
sorted_python,3.314018249511719e-05,4251
sorted_python,2.7894973754882812e-05,4301
sorted_python,1.811981201171875e-05,4351
sorted_python,2.5987625122070312e-05,4401
sorted_python,2.002716064453125e-05,4451
sorted_python,1.811981201171875e-05,4501
sorted_python,2.4080276489257812e-05,4551
sorted_python,1.6927719116210938e-05,4601
sorted_python,2.193450927734375e-05,4651
sorted_python,1.811981201171875e-05,4701
sorted_python,1.5020370483398438e-05,4751
sorted_python,1.2636184692382812e-05,4801
sorted_python,1.3828277587890625e-05,4851
sorted_python,1.4781951904296875e-05,4901
sorted_python,1.2874603271484375e-05,4951
sorted_python,1.3828277587890625e-05,5001
sorted_python,1.3113021850585938e-05,5051
sorted_python,1.430511474609375e-05,5101
sorted_python,1.2874603271484375e-05,5151
sorted_python,1.4781951904296875e-05,5201
sorted_python,1.4066696166992188e-05,5251
sorted_python,3.1948089599609375e-05,5301
sorted_python,3.1948089599609375e-05,5351
sorted_python,2.47955322265625e-05,5401
sorted_python,2.288818359375e-05,5451
sorted_python,2.5033950805664062e-05,5501
sorted_python,1.9073486328125e-05,5551
sorted_python,2.002716064453125e-05,5601
sorted_python,1.811981201171875e-05,5651
sorted_python,1.6689300537109375e-05,5701
sorted_python,1.7881393432617188e-05,5751
sorted_python,1.6927719116210938e-05,5801
sorted_python,1.71661376953125e-05,5851
sorted_python,1.7881393432617188e-05,5901
sorted_python,1.7881393432617188e-05,5951
sorted_python,1.7881393432617188e-05,6001
sorted_python,2.002716064453125e-05,6051
sorted_python,1.811981201171875e-05,6101
sorted_python,2.3126602172851562e-05,6151
sorted_python,2.09808349609375e-05,6201
sorted_python,1.8835067749023438e-05,6251
sorted_python,2.6226043701171875e-05,6301
sorted_python,2.2172927856445312e-05,6351
sorted_python,4.1961669921875e-05,6401
sorted_python,3.1948089599609375e-05,6451
sorted_python,3.695487976074219e-05,6501
sorted_python,3.0994415283203125e-05,6551
sorted_python,2.5987625122070312e-05,6601
sorted_python,2.2172927856445312e-05,6651
sorted_python,3.170967102050781e-05,6701
sorted_python,2.9802322387695312e-05,6751
sorted_python,3.981590270996094e-05,6801
sorted_python,2.9802322387695312e-05,6851
sorted_python,3.62396240234375e-05,6901
sorted_python,4.38690185546875e-05,6951
sorted_python,6.794929504394531e-05,7001
sorted_python,3.218650817871094e-05,7051
sorted_python,3.1948089599609375e-05,7101
sorted_python,2.47955322265625e-05,7151
sorted_python,2.4080276489257812e-05,7201
sorted_python,4.076957702636719e-05,7251
sorted_python,3.62396240234375e-05,7301
sorted_python,3.0040740966796875e-05,7351
sorted_python,2.8848648071289062e-05,7401
