Algorithm,time,n
radix_sort,0.000882864,21101
radix_sort,0.001039028,21201
radix_sort,0.000692368,21301
radix_sort,0.000826836,21401
radix_sort,0.000781775,21501
radix_sort,0.000658989,21601
radix_sort,0.000645161,21701
radix_sort,0.000632048,21801
radix_sort,0.000769854,21901
radix_sort,0.000860929,22001
radix_sort,0.00097394,22101
radix_sort,0.000743866,22201
radix_sort,0.000645161,22301
radix_sort,0.000636101,22401
radix_sort,0.000996113,22501
radix_sort,0.000773191,22601
radix_sort,0.000663996,22701
radix_sort,0.000661135,22801
radix_sort,0.000660896,22901
radix_sort,0.000656843,23001
radix_sort,0.001020908,23101
radix_sort,0.000804186,23201
radix_sort,0.000689983,23301
radix_sort,0.001042128,23401
radix_sort,0.000745058,23501
radix_sort,0.000948191,23601
radix_sort,0.000746965,23701
radix_sort,0.000753164,23801
radix_sort,0.000717163,23901
radix_sort,0.00069809,24001
radix_sort,0.000730991,24101
radix_sort,0.000732899,24201
radix_sort,0.000751019,24301
radix_sort,0.000782728,24401
radix_sort,0.000715971,24501
radix_sort,0.000710011,24601
radix_sort,0.00071311,24701
radix_sort,0.000746012,24801
radix_sort,0.000727177,24901
radix_sort,0.001142025,25001
radix_sort,0.000810146,25101
radix_sort,0.000732899,25201
radix_sort,0.000795126,25301
radix_sort,0.000832796,25401
radix_sort,0.000841141,25501
radix_sort,0.001092196,25601
radix_sort,0.000908136,25701
radix_sort,0.000855207,25801
radix_sort,0.000833988,25901
radix_sort,0.0008111,26001
radix_sort,0.000804186,26101
radix_sort,0.000953197,26201
radix_sort,0.000808954,26301
radix_sort,0.001116991,26401
radix_sort,0.001578093,26501
radix_sort,0.000972033,26601
radix_sort,0.00085783,26701
radix_sort,0.000832081,26801
radix_sort,0.000996113,26901
radix_sort,0.000860929,27001
radix_sort,0.000926018,27101
radix_sort,0.001180887,27201
radix_sort,0.001050234,27301
radix_sort,0.000922918,27401
radix_sort,0.000877857,27501
radix_sort,0.00090003,27601
radix_sort,0.000876188,27701
radix_sort,0.000869989,27801
radix_sort,0.000908852,27901
radix_sort,0.001437902,28001
radix_sort,0.001037121,28101
radix_sort,0.000868797,28201
radix_sort,0.001171827,28301
radix_sort,0.000880241,28401
radix_sort,0.00175786,28501
radix_sort,0.001060009,28601
radix_sort,0.000910759,28701
radix_sort,0.000887156,28801
radix_sort,0.000890017,28901
radix_sort,0.000885963,29001
radix_sort,0.000890732,29101
radix_sort,0.000914097,29201
radix_sort,0.001075983,29301
radix_sort,0.000908852,29401
radix_sort,0.000913858,29501
radix_sort,0.000910997,29601
radix_sort,0.000888109,29701
radix_sort,0.000943899,29801
radix_sort,0.000898838,29901
radix_sort,0.000908136,30001
radix_sort,0.000904799,30101
radix_sort,0.000895977,30201
radix_sort,0.000898838,30301
radix_sort,0.00093317,30401
radix_sort,0.001185179,30501
radix_sort,0.000902176,30601
radix_sort,0.000898123,30701
radix_sort,0.000896215,30801
radix_sort,0.000905275,30901
radix_sort,0.00094676,31001
radix_sort,0.000916243,31101
radix_sort,0.001343966,31201
radix_sort,0.000974178,31301
radix_sort,0.001285315,31401
radix_sort,0.000966787,31501
radix_sort,0.001034975,31601
radix_sort,0.00156498,31701
radix_sort,0.001042128,31801
radix_sort,0.001001835,31901
radix_sort,0.000951052,32001
radix_sort,0.000953913,32101
radix_sort,0.001153946,32201
radix_sort,0.001916885,32301
radix_sort,0.001064777,32401
radix_sort,0.00109005,32501
radix_sort,0.001869202,32601
radix_sort,0.001074791,32701
radix_sort,0.001194954,32801
radix_sort,0.00153923,32901
radix_sort,0.001083136,33001
radix_sort,0.001362324,33101
radix_sort,0.001208782,33201
radix_sort,0.00107193,33301
radix_sort,0.001416922,33401
radix_sort,0.001095057,33501
radix_sort,0.001572132,33601
radix_sort,0.001079082,33701
radix_sort,0.001038074,33801
radix_sort,0.001098871,33901
radix_sort,0.001391172,34001
radix_sort,0.001047134,34101
radix_sort,0.001407146,34201
radix_sort,0.001079798,34301
radix_sort,0.001061916,34401
radix_sort,0.001069069,34501
radix_sort,0.001029968,34601
radix_sort,0.001037836,34701
radix_sort,0.00105381,34801
radix_sort,0.001039982,34901
radix_sort,0.001081944,35001
radix_sort,0.00104022,35101
radix_sort,0.001037121,35201
radix_sort,0.00149107,35301
radix_sort,0.001055956,35401
radix_sort,0.001049757,35501
radix_sort,0.001047134,35601
radix_sort,0.001676083,35701
radix_sort,0.001075983,35801
radix_sort,0.001075983,35901
radix_sort,0.002300024,36001
radix_sort,0.001187801,36101
radix_sort,0.00116086,36201
radix_sort,0.001175165,36301
radix_sort,0.001123905,36401
radix_sort,0.00148201,36501
radix_sort,0.001494884,36601
radix_sort,0.001251936,36701
radix_sort,0.001183987,36801
radix_sort,0.001137972,36901
radix_sort,0.001134157,37001
radix_sort,0.001139879,37101
radix_sort,0.001196861,37201
radix_sort,0.001174212,37301
radix_sort,0.001186132,37401
radix_sort,0.001235962,37501
radix_sort,0.001235962,37601
radix_sort,0.001249075,37701
radix_sort,0.001270056,37801
radix_sort,0.001224041,37901
radix_sort,0.00122714,38001
radix_sort,0.00129199,38101
radix_sort,0.001245737,38201
radix_sort,0.001248121,38301
radix_sort,0.001245022,38401
radix_sort,0.001263142,38501
radix_sort,0.00125885,38601
radix_sort,0.001268148,38701
radix_sort,0.001708031,38801
radix_sort,0.001274109,38901
radix_sort,0.001315117,39001
radix_sort,0.001272917,39101
radix_sort,0.001943111,39201
radix_sort,0.001298189,39301
radix_sort,0.001338005,39401
radix_sort,0.001427889,39501
radix_sort,0.001324177,39601
radix_sort,0.001363039,39701
radix_sort,0.001318932,39801
radix_sort,0.0013237,39901
radix_sort,0.001332998,40001
radix_sort,0.00133729,40101
radix_sort,0.001324892,40201
radix_sort,0.001374006,40301
radix_sort,0.0013659,40401
radix_sort,0.001327991,40501
radix_sort,0.001471996,40601
radix_sort,0.001536131,40701
radix_sort,0.001978874,40801
radix_sort,0.001919985,40901
radix_sort,0.001425028,41001
radix_sort,0.001362324,41101
radix_sort,0.002128124,41201
radix_sort,0.0013659,41301
radix_sort,0.002254009,41401
radix_sort,0.001399994,41501
radix_sort,0.001446009,41601
radix_sort,0.001358747,41701
radix_sort,0.001426935,41801
radix_sort,0.002127886,41901
radix_sort,0.003246069,42001
radix_sort,0.001611948,42101
radix_sort,0.001527071,42201
radix_sort,0.001651049,42301
radix_sort,0.001498938,42401
radix_sort,0.002467155,42501
radix_sort,0.001481295,42601
radix_sort,0.001935959,42701
radix_sort,0.001437902,42801
radix_sort,0.001740932,42901
radix_sort,0.00147891,43001
radix_sort,0.001430988,43101
radix_sort,0.001479864,43201
radix_sort,0.001478195,43301
radix_sort,0.001481056,43401
radix_sort,0.00149107,43501
radix_sort,0.00158596,43601
radix_sort,0.001464128,43701
radix_sort,0.001439095,43801
radix_sort,0.002636194,43901
radix_sort,0.001558065,44001
radix_sort,0.001528978,44101
radix_sort,0.001461983,44201
radix_sort,0.001473904,44301
radix_sort,0.001545906,44401
radix_sort,0.001986027,44501
radix_sort,0.002645016,44601
radix_sort,0.001647234,44701
radix_sort,0.001734018,44801
radix_sort,0.001601219,44901
radix_sort,0.001574278,45001
radix_sort,0.001737833,45101
radix_sort,0.001572132,45201
radix_sort,0.001575947,45301
radix_sort,0.001559973,45401
radix_sort,0.001632929,45501
radix_sort,0.001551151,45601
radix_sort,0.001541138,45701
radix_sort,0.001543283,45801
radix_sort,0.001621008,45901
radix_sort,0.001630306,46001
radix_sort,0.001556873,46101
radix_sort,0.001651049,46201
radix_sort,0.001574755,46301
radix_sort,0.001623869,46401
radix_sort,0.00158596,46501
radix_sort,0.001579762,46601
radix_sort,0.001647949,46701
radix_sort,0.002406836,46801
radix_sort,0.001606226,46901
radix_sort,0.001617908,47001
radix_sort,0.001600027,47101
radix_sort,0.001609087,47201
radix_sort,0.001648188,47301
radix_sort,0.001639128,47401
radix_sort,0.001619816,47501
radix_sort,0.001618862,47601
radix_sort,0.001708031,47701
radix_sort,0.001831055,47801
radix_sort,0.001680136,47901
radix_sort,0.001625299,48001
radix_sort,0.001621962,48101
radix_sort,0.002007961,48201
radix_sort,0.002119303,48301
radix_sort,0.00194788,48401
radix_sort,0.001795053,48501
radix_sort,0.001729012,48601
radix_sort,0.002043962,48701
radix_sort,0.001868963,48801
radix_sort,0.001681805,48901
radix_sort,0.001690149,49001
radix_sort,0.001703978,49101
radix_sort,0.001681089,49201
radix_sort,0.001736164,49301
radix_sort,0.001686096,49401
radix_sort,0.001698017,49501
radix_sort,0.001740694,49601
radix_sort,0.001740932,49701
radix_sort,0.001695871,49801
radix_sort,0.001755953,49901
radix_sort,0.002221107,50001
radix_sort,0.001714945,50101
radix_sort,0.001763105,50201
radix_sort,0.001765966,50301
radix_sort,0.002352953,50401
radix_sort,0.003005981,50501
radix_sort,0.002550125,50601
radix_sort,0.001812935,50701
radix_sort,0.001767159,50801
radix_sort,0.002243042,50901
radix_sort,0.001781225,51001
radix_sort,0.002268791,51101
radix_sort,0.002713919,51201
radix_sort,0.001763821,51301
radix_sort,0.001802921,51401
radix_sort,0.001765251,51501
radix_sort,0.001872063,51601
radix_sort,0.002279282,51701
radix_sort,0.002038002,51801
radix_sort,0.002494097,51901
radix_sort,0.001867056,52001
radix_sort,0.002090931,52101
radix_sort,0.001806974,52201
radix_sort,0.002768755,52301
radix_sort,0.002148151,52401
radix_sort,0.002204895,52501
radix_sort,0.003022909,52601
